Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
AlgaeBase (2017),https://www.algaebase.org/search/species/detail/?species_id=jf111a52ed61cef41&sk=0&from=results,Database,AlgaeBase,2013,"Guiry, M. D., and G. M. Guiry",AlgaeBase,AlgaeBase,Unknown,"National University of Ireland, Galway","Galway, Ireland",,,,
Alyokhin and Messing (2003),https://scholarspace.manoa.hawaii.edu/bitstream/handle/10125/96/36_29-37.pdf?sequence=1&origin=publication_detail,Article,Proceedings of the Hawaiian Entomological Society,v. 36,"Alyokhin, Andrei V., and Russell H. Messing","Parasitism of Hawaiian Non-Frugivorous Fruit Flies (Diptera: Tephritidae) by an Exotic Parasitoid, Eurytoma tephritidis Fullaway (Hymenoptera: Eurytomidae)",Proceedings of the Hawaiian Entomological Society,2003-01-01,Hawaiian Entomological Society,"Honolulu, Hawaii",,,29-37,
American Ornithologists' Union (1998a),https://americanornithology.org/wp-content/uploads/2019/07/AOSChecklistGall-Charad.pdf,Handbook,American Ornithologists' Union,Edition 7,American Ornithologists' Union,"Check-list of North American Birds: The Species of Birds of North America from the Arctic through Panama, Including the West Indies and Hawaiian Islands",Check-list of North American Birds,1998-01-01,American Ornithologists' Union,"Lawrence, Kansas",,,112-216,
American Ornithologists' Union (1998b),https://americanornithology.org/wp-content/uploads/2019/07/AOSChecklistPter-Apod.pdf,Handbook,American Ornithologists' Union,Edition 7,American Ornithologists' Union,"Check-list of North American Birds: The Species of Birds of North America from the Arctic through Panama, Including the West Indies and Hawaiian Islands",Check-list of North American Birds,1998-01-01,American Ornithologists' Union,"Lawrence, Kansas",,,217-313,
American Ornithologists' Union (1998c),https://americanornithology.org/wp-content/uploads/2019/07/AOSChecklistSturn-Estril.pdf,Handbook,American Ornithologists' Union,Edition 7,American Ornithologists' Union,"Check-list of North American Birds: The Species of Birds of North America from the Arctic through Panama, Including the West Indies and Hawaiian Islands",Check-list of North American Birds,1998-01-01,American Ornithologists' Union,"Lawrence, Kansas",,,523-684,
Andersen and Mills (2018),https://doi.org/10.1002/ece3.3667,Article,Ecology and Evolution,"v. 8, No. 1","Andersen, Jeremy C., and Nicholas J. Mills","Comparative genetics of invasive populations of walnut aphid, Chromaphis juglandicola, and its introduced parasitoid, Trioxys pallidus, in California",Ecology and Evolution,2018-01-01,John Wiley & Sons Ltd,,,,801-811,
Animal and Plant Health Inspection Service (APHIS) (2008),https://www.aphis.usda.gov/plant_health/ea/downloads/SirexEA-final-northeast.pdf,Environmental Assessment,APHIS Environmental Assessment,2008,Animal and Plant Health Inspection Service (APHIS),Proposed Program for the Control of the Woodwasp Sirex noctilio F. (Hymenoptera: Siricidae) in the Northeastern United States,Proposed Program for the Control of the Woodwasp Sirex noctilio F. (Hymenoptera: Siricidae) in the Northeastern United States,2008-08-01,U.S. Department of Agriculture (USDA),,,,,
Animal and Plant Health Inspection Service (APHIS) (2011),https://www.aphis.usda.gov/plant_health/ea/downloads/GAS-MiamiEA.pdf,Environmental Assessment,APHIS Environmental Assessment,2011,Animal and Plant Health Inspection Service (APHIS),"Giant African Snail Cooperative Eradication Program: Miami-Dade County, Florida","Giant African Snail Cooperative Eradication Program: Miami-Dade County, Florida",2011-10-01,U.S. Department of Agriculture (USDA),,,,,
Animal and Plant Health Inspection Service (APHIS) (2012),https://www.aphis.usda.gov/plant_health/plant_pest_info/weeds/downloads/wra/Althaea%20armeniaca%20WRA.pdf,Environmental Assessment,APHIS Environmental Assessment,v. 2,Animal and Plant Health Inspection Service (APHIS),Weed Risk Assessment for Althaea armeniaca Ten. (Malvaceae) – Marshmallow,Weed Risk Assessment for Althaea armeniaca Ten. (Malvaceae) – Marshmallow,2012-09-28,U.S. Department of Agriculture (USDA),"Washington, DC",,,,
Animal and Plant Health Inspection Service (APHIS) (2013),https://www.aphis.usda.gov/plant_health/plant_pest_info/weeds/downloads/wra/Impatiens_parviflora_WRA.pdf,Environmental Assessment,APHIS Environmental Assessment,v. 1,Animal and Plant Health Inspection Service (APHIS),"Weed Risk Assessment for Impatiens parviflora DC. (Balsaminaceae) – Smallflower touch-me-not, small balsam","Weed Risk Assessment for Impatiens parviflora DC. (Balsaminaceae) – Smallflower touch-me-not, small balsam",2013-09-23,U.S. Department of Agriculture (USDA),"Washington, DC",,,,
Animal Diversity Web (ADW) (2017a),https://animaldiversity.org/accounts/Bos_taurus/#geographic_range,Database,Animal Diversity Web (ADW),2017,"Dewey, Tanya and Jessica Ng",Bos taurus - Aurochs,Bos taurus - Aurochs,2001-01-01,University of Michigan Museum of Zoology,,,,,
Animal Diversity Web (ADW) (2017c),https://animaldiversity.org/accounts/Ammotragus_lervia/#geographic_range,Database,Animal Diversity Web (ADW),2017,"Steinway, Matthew",Ammotragus lervia - aoudad,Ammotragus lervia - aoudad,2000-01-01,University of Michigan Museum of Zoology,,,,,
Animal Diversity Web (ADW) (2017d),https://animaldiversity.org/accounts/Dama_dama/#geographic_range,Database,Animal Diversity Web (ADW),2017,"Dharmani, Aarti",Dama dama - fallow deer,Dama dama - fallow deer,2000-01-01,University of Michigan Museum of Zoology,,,,,
AntWeb (2020),https://www.antweb.org/description.do?genus=nylanderia&species=vaga&rank=species,Database,AntWeb,v. 8.41,AntWeb,Introduced for State/Province: Hawaii,Species: Nylanderia vaga,2020-01-01,California Academy of Sciences,"San Francisco, California",,,,Current name/status change derived from table 2 in Matsunaga et al. (2019)
AntWeb (2020a),https://www.antweb.org/description.do?genus=solenopsis&species=globularia&rank=species,Database,AntWeb,v. 8.41,AntWeb,Introduced for State/Province: Hawaii,Species: Solenopsis globularia,2020-01-01,California Academy of Sciences,"San Francisco, California",,,,
AntWeb (2020b),https://www.antweb.org/description.do?genus=strumigenys&species=membranifera&rank=species,Database,AntWeb,v. 8.41,AntWeb,Introduced for State/Province: Hawaii,Species: Strumigenys membranifera,2020-01-01,California Academy of Sciences,"San Francisco, California",,,,
Arango and Young (2012),https://www.fpl.fs.fed.us/documnts/fplgtr/fpl_gtr209.pdf,Technical Report,U.S. Department of Agriculture (USDA),FPL-GTR-209,"Arango, Rachel A., and Daniel K. Young",Death-watch and spider beetles of Wisconsin—Coleoptera: Ptinidae,Death-watch and spider beetles of Wisconsin—Coleoptera: Ptinidae,2012-06-01,"U.S. Department of Agriculture, Forest Service, Forest Products Laboratory","Madison, Wisconsin",,,,
Arctos (2019),https://arctos.database.museum/archive/20190723akpholcusphalangioides,Database,Arctos,Undefined,Arctos community,Archive 20190723akpholcusphalangioides,Arctos Collective Collection Management Solution,2019-07-23,Arctos,,,,,
Arctos (2019a),https://arctos.database.museum/archive/20190723akptinusraptor,Database,Arctos,Undefined,Arctos community,Archive 20190723akptinusraptor,Arctos Collective Collection Management Solution,2019-07-23,Arctos,,,,,
Arctos (2019b),https://arctos.database.museum/guid/UAMObs:Ento:238426,Database,Arctos,Undefined,Arctos community,Hydrophoria lancifer,Arctos Collective Collection Management Solution,2017-06-20,Arctos,,,,,
Arctos (2020),https://arctos.database.museum/guid/KNWR:Inv:35,Database,Arctos,Undefined,"Bowser, Matt","KNWR:Inv:35, Eisenia andrei",Arctos Collective Collection Management Solution,2019-02-04,Arctos,,,,,
Atkinson (2018),http://www.barkbeetles.info/regional_chklist_target_species.php?lookUp=2188,Handbook,Bark and Ambrosia Beetles of North and Central America,2018,"Atkinson, Thomas H.",Bark and Ambrosia Beetles of North and Central America,Bark and Ambrosia Beetles of North and Central America,2018-06-08,Thomas H. Atkinson,,,,,
Atkinson et al. (1990),https://www.jstor.org/stable/3494816,Article,The Florida Entomologist,"v. 73, No. 2","Atkinson, Thomas H., Philip G. Koehler, and Richard S. Patterson","Annotated Checklist of the Cockroaches of Florida (Dictyoptera: Blattaria: Blattidae, Polyphagidae, Blattellidae, Blaberidae)",Florida Entomologist,1990-06-01,Florida Entomological Society,,,,303-327,
Atkinson et al. (1991),https://www.worldcat.org/title/catalog-and-atlas-of-the-cockroaches-dictyoptera-of-north-america-north-of-mexico/oclc/25241340,Article,Entomological Society of America,No. 78,"Atkinson, Thomas H., Philip G. Koehler, and Richard S. Patterson",Catalog and Atlas of the Cockroaches (Dictyoptera) of North America North of Mexico,Miscellaneous Publications of the Entomological Society of America,1991-11-01,Entomological Society of America,"Annapolis, Maryland",,,1-86,
Audubon (2019),https://www.audubon.org/field-guide/bird/spot-breasted-oriole,Database,Audubon Guide to North American Birds,2019,Audubon,Spot-breasted Oriole,Guide to North American Birds - Spot-breasted Oriole,1905-07-11,National Audubon Society,,,,,
Audubon (2019a),https://www.audubon.org/field-guide/bird/eurasian-tree-sparrow,Database,Audubon Guide to North American Birds,2019,Audubon,Eurasian Tree Sparrow,Guide to North American Birds - Eurasian Tree Sparrow,1905-07-11,National Audubon Society,,,,,
Audubon (2019b),https://www.audubon.org/field-guide/bird/gray-partridge,Database,Audubon Guide to North American Birds,2019,Audubon,Gray Partridge,Guide to North American Birds - Gray Partridge,1905-07-11,National Audubon Society,,,,,
Audubon (2019c),https://www.audubon.org/field-guide/bird/spotted-dove,Database,Audubon Guide to North American Birds,2019,Audubon,Spotted Dove,Guide to North American Birds - Spotted Dove,1905-07-11,National Audubon Society,,,,,
Audubon (2019d),https://www.audubon.org/field-guide/bird/himalayan-snowcock,Database,Audubon Guide to North American Birds,2019,Audubon,Himalayan Snowcock,Guide to North American Birds - Himalayan Snowcock,1905-07-11,National Audubon Society,,,,,
Audubon (2019e),https://www.audubon.org/field-guide/bird/red-whiskered-bulbul,Database,Audubon Guide to North American Birds,2019,Audubon,Red-whiskered Bulbul,Guide to North American Birds - Red-whiskered Bulbul,1905-07-11,National Audubon Society,,,,,
Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,Database,Knowledge Network for Biocomplexity,2009,"Aukema, Juliann and Deborah McCullough",Non-native forest insects and pathogens in the continental US,Non-native forest insects and pathogens in the continental US,2009-01-01,Knowledge Network for Biocomplexity,,,,,
Aukema et al. (2010),https://academic.oup.com/bioscience/article/60/11/886/328949,Article,BioScience,"v. 60, No. 11","Aukema, Juliann E., Deborah G. McCullough, Betsy Von Holle, Andrew M. Liebhold, Kerry Britton, and Susan J. Frankel",Historical Accumulation of Nonindigenous Forest Pests in the Continental United States,BioScience,2010-12-01,American Institute of Biological Sciences,,,,886-897,
AviBase (2017b),https://avibase.bsc-eoc.org/species.jsp?avibaseid=4B9EEF568857FB51,Database,AviBase,Undefined,AviBase,"Ring-necked Pheasant, Phasianus [colchicus or versicolor] (= Phasianus colchicus) Linnaeus, 1758",AviBase,Unknown,AviBase,,,,,
Bain (1998),https://link.springer.com/article/10.1007/BF03374258,Article,Historical Archaeology,"v. 32, No. 3","Bain, Allison",A seventeenth-century beetle fauna from colonial Boston,Historical Archaeology,1998-09-01,Springer Nature,"Basel, Switzerland",,,38-48,
Baker (1979),https://scholarspace.manoa.hawaii.edu/bitstream/10125/1470/4/v33n2-207-212.pdf,Article,Pacific Science,"v. 33, No. 2","Baker, James K.","The Rainbow Skink, Lampropholis delicata, in Hawaii",Pacific Science,1979-04-01,The University Press of Hawaii,,,,207-212,
Barnes et al. (2018),https://doi.org/10.3767/persoonia.2018.40.07,Article,Ingenta Connect,v. 40,"Barnes, I., A. Fourie, M.J. Wingfield , T.C. Harrington, D.L. McNew, L.S. Sugiyama, B.C. Luiz, W.P. Heller, and L.M. Keith",New Ceratocystis species associated with rapid death of Metrosideros polymorpha in Hawai'i,Persoonia,2018-03-27,Ingenta,"Oxford, England",,1878-9080,154-181,
Barringer (2017),https://digitalcommons.unl.edu/insectamundi/1052,Article,University of Nebraska - Lincoln,549,"Barringer, Lawrence E.",First record of Myrmarachne formicaria (De Geer) (Araneae: Salticidae) in Pennsylvania,Insecta Mundi,2017-04-28,"Center for Systematic Entomology, Inc.","Gainesville, Florida",,1942-1354,1-2,
Barringer et al. (2018),https://doi.org/10.1093/jipm/pmx034,Article,Entomological Society of America,"v. 9, No. 1","Barringer, Lawrence E., Shelby J. Fleischer, Dana Roberts, Sven-Erik Spichiger, and Timothy Elkner",The First North American Record of the Allium Leafminer,Journal of Integrated Pest Management,2018-02-27,Oxford University Press,"Oxford, England",,,1-8,
Barton and Riley (2004),https://doi.org/10.1654/4134,Article,Comparative Parasitology,"v. 71, No. 2","Barton, Diane P., and John Riley","Raillietiella indica (Pentastomida) from the Lungs of the Giant Toad, Bufo marinus (Amphibia), in Hawaii, U.S.A.",Comparative Parasitology,2004-07-01,The Helminthological Society of Washington,"Washington, DC",,,251-254,
Bastida-Zavala et al. (2017),https://europeanjournaloftaxonomy.eu/index.php/ejt/article/view/469,Article,European Journal of Taxonomy,No. 344,"Bastida-Zavala, J. Rolando, Linda D. McCann, Erica Keppel, and Gregory M. Ruiz",The fouling serpulids (Polychaeta: Serpulidae) from United States coastal waters: an overview,European Journal of Taxonomy,2017-08-17,consortium of European natural history institutions,,,2118-9773,1-76,
Bateman et al. (2015),https://link.springer.com/article/10.1007/s13199-015-0353-z,Article,Symbiosis,"v. 66, No. 3","Bateman, Craig, Paul E. Kendra, Robert Rabaglia, and Jiri Hulcr","Fungal symbionts in three exotic ambrosia beetles, Xylosandrus amputatus, Xyleborinus andrewesi, and Dryoxylon onoharaense (Coleoptera: Curculionidae: Scolytinae: Xyleborini) in Florida",Symbiosis,2015-07-01,Springer,,,,141-148,
Batra (1977),https://www.jstor.org/stable/25009063,Article,New York Entomological Society,"v. 85, No. 3","Batra, S. W. T.","Bionomics of the aquatic moth, Acentropus niveus (Oliver), a potential biological control agent for Eurasian Watermilfoil and Hydrilla",Journal of the New York Entomological Society,1977-09-01,New York Entomological Society,"New York, New York",,,143-152,
Bazzano (2007),https://scholarspace.manoa.hawaii.edu/bitstream/handle/10125/26262/141.pdf;sequence=1,Technical Report,University of Hawaii,Technical Report No. 141,"Bazzano, Jason","Herpetelogical Inventory in West Hawai'I National Parks: Pu'uhonua o Hōnaunau National Historical Park, Kaloko-Honokohau National Historical Park, Puʻukoholā Heiau National Historic Site","Herpetelogical Inventory in West Hawai'I National Parks: Pu'uhonua o Hōnaunau National Historical Park, Kaloko-Honokohau National Historical Park, Puʻukoholā Heiau National Historic Site",2007-04-01,University of Hawaii at Manoa,"Honolulu, Hawaii",,,,
Beardsley (1961),https://scholarspace.manoa.hawaii.edu/bitstream/10125/10826/1/17_333-366.pdf,Article,University of Hawaii,"v. XVII, No. 3","Beardsley, John W.",A Review of the Hawaiian Braconidae (Hymenoptera),Proceedings of the Hawaiian Entomological Society,1961-08-01,Hawaiian Entomological Society,"Honolulu, Hawaii",,,333-366,
Beardsley (1962),http://delphacid.s3.amazonaws.com/6550.pdf,Article,Proceedings of the Hawaiian Entomological Society,"v. 18, No. 1","Beardsley, John W.",On Accidental Immigration and Establishment of Terrestrial Arthropods in Hawaii During Recent Years,Proceedings of the Hawaiian Entomological Society,1962-08-01,Hawaiian Entomological Society,"Honolulu, Hawaii",,,99-110,
Beardsley (1979),https://scholarspace.manoa.hawaii.edu/bitstream/handle/10125/11090/23_35-44.pdf?sequence=1,Article,Proceedings of the Hawaiian Entomological Society,"v. 13, No. 1","Beardsley, John W., Jr.",New Immigrant Insects in Hawaii: 1962 through 1976,Proceedings of the Hawaiian Entomological Society,1979-04-01,Hawaiian Entomological Society,"Honolulu, Hawaii",,,35-44,
Beardsley (1980),http://delphacid.s3.amazonaws.com/6567.pdf,Technical Report,University of Hawaii,Technical Report No. 31,"Beardsley, John",Haleakala National Park Crater District Resources Basic Inventory: Insects,Haleakala National Park Crater District Resources Basic Inventory: Insects,1980-07-01,University of Hawaii at Manoa,"Honolulu, Hawaii",,,,
Beardsley and Perreira (2000),http://hbs.bishopmuseum.org/pdf/beardsley&perreira00.pdf,Article,Bishop Museum Occasional Papers,No. 63,"Beardsley, John W., and William D. Perreira",New Distribution Records for Non-Endemic Hymenoptera (Insecta) in Hawai‘i,Records of the Hawaii Biological Survey for 1999—Part 1,2000-01-01,Bishop Museum,"Honolulu, Hawaii",,,21-30,
Beenen (2006),https://www.semanticscholar.org/paper/Translocation-in-Leaf-Beetles-(Coleoptera%3A-Ron-Beenen/d6ad285e1a0320853180040321ce347dd3437e63,Article,Semantic Scholar,"v. 54, No. 4","Beenen, Jon",Translocation in Leaf Beetles (Coleoptera:Chrysomelidae),Bonner zoologische Beitrage,2006-06-01,Bonner zoologische Beitrage,"Bonn, Germany",,,179–199,
Beggs et al. (2011),https://link.springer.com/article/10.1007/s10526-011-9389-z,Article,BioControl,"v. 56, No. 4","Beggs, Jacqueline R., Eckehard G. Brockerhoff, Juan C. Corley, Marc Kenis, Maité Masciocchi, Franck Muller, Quentin Rome, and Claire Villemant",Ecological effects and management of invasive alien Vespidae,BioControl,2011-08-01,Springer,,,1386-6141,505-526,
Bennett (1993),https://www.jstor.org/stable/3496013,Article,The Florida Entomologist,"v. 76, No. 1","Bennett, Fred D.",Do introduced parasitoids replace native ones?,The Florida Entomologist,1993-03-01,Florida Entomological Society,"Lutz, Florida",,,54-63,
Berner et al. (2013),http://doi.org/10.1016/j.biocontrol.2013.09.010,Article,Biological Control,v. 67,"Berner, Dana,  Emily Smallwood, Craig Cavin, Anastasia Lagopodi, Javid Kashefi, Tamara Kolomiets, Lyubov Pankratova, Zhanna Mukhina, Michael Cripps, and Graeme Bourdôt",Successful establishment of epiphytotics of Puccinia punctiformis for biological control of Cirsium arvense,Biological Control,2013-12-01,Elsevier,"Atlanta, Georgia",,,350-360,
Bishop Museum (2002),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1635285540,Database,Bishop Museum,2002,Bishop Museum,Bishop Museum - All-Species Checklist Query Results,Bishop Museum- Hawaiian All-Species Checklist,2002-04-10,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002a),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1128346793,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ab),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=219417712,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ac),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=2485538,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ad),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=363613227,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ae),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=373217298,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002af),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=474410703,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ag),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=548118416,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ah),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=59141201,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ai),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=600914979,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002aj),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=69845925,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ak),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=828607687,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002al),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=856352138,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002am),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=912693987,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002an),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1242134349,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ao),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1247492748,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ap),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1278561428,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ar),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1456052822,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002as),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1486017196,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002at),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1587786359,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002au),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1703035512,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002av),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-174878873,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002aw),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1759470818,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
